seq1	11	12	h	19	+	11	12	255,0,0	19	0.00	0	14	5	0	0	1	0
seq1	11	12	m	19	+	11	12	255,0,0	19	26.32	5	14	0	0	0	1	0
seq1	12	13	h	4	-	12	13	255,0,0	4	0.00	0	4	0	0	0	0	1
seq1	12	13	m	4	-	12	13	255,0,0	4	0.00	0	4	0	0	0	0	1
seq1	35	36	h	28	+	35	36	255,0,0	28	3.57	1	21	6	0	0	0	0
seq1	35	36	m	28	+	35	36	255,0,0	28	21.43	6	21	1	0	0	0	0
seq1	36	37	h	7	-	36	37	255,0,0	7	14.29	1	6	0	1	0	0	0
seq1	36	37	m	7	-	36	37	255,0,0	7	0.00	0	6	1	1	0	0	0
seq1	54	55	h	28	+	54	55	255,0,0	28	7.14	2	19	7	0	0	0	1
seq1	54	55	m	28	+	54	55	255,0,0	28	25.00	7	19	2	0	0	0	1
seq1	55	56	h	9	-	55	56	255,0,0	9	0.00	0	8	1	0	0	1	1
seq1	55	56	m	9	-	55	56	255,0,0	9	11.11	1	8	0	0	0	1	1
seq1	59	60	h	25	+	59	60	255,0,0	25	0.00	0	24	1	0	0	1	3
seq1	59	60	m	25	+	59	60	255,0,0	25	4.00	1	24	0	0	0	1	3
seq1	60	61	h	9	-	60	61	255,0,0	9	0.00	0	9	0	0	0	1	1
seq1	60	61	m	9	-	60	61	255,0,0	9	0.00	0	9	0	0	0	1	1
seq1	80	81	h	28	+	80	81	255,0,0	28	3.57	1	22	5	1	0	0	2
seq1	80	81	m	28	+	80	81	255,0,0	28	17.86	5	22	1	1	0	0	2
seq1	81	82	h	12	-	81	82	255,0,0	12	8.33	1	7	4	1	0	1	0
seq1	81	82	m	12	-	81	82	255,0,0	12	33.33	4	7	1	1	0	1	0
seq1	83	84	h	26	+	83	84	255,0,0	26	0.00	0	9	17	0	0	3	2
seq1	83	84	m	26	+	83	84	255,0,0	26	65.38	17	9	0	0	0	3	2
seq1	84	85	h	12	-	84	85	255,0,0	12	0.00	0	10	2	0	0	0	1
seq1	84	85	m	12	-	84	85	255,0,0	12	16.67	2	10	0	0	0	0	1
seq1	97	98	h	31	+	97	98	255,0,0	31	6.45	2	19	10	0	0	0	1
seq1	97	98	m	31	+	97	98	255,0,0	31	32.26	10	19	2	0	0	0	1
seq1	98	99	h	13	-	98	99	255,0,0	13	0.00	0	12	1	0	0	0	1
seq1	98	99	m	13	-	98	99	255,0,0	13	7.69	1	12	0	0	0	0	1
seq1	104	105	h	25	+	104	105	255,0,0	25	4.00	1	20	4	2	0	1	3
seq1	104	105	m	25	+	104	105	255,0,0	25	16.00	4	20	1	2	0	1	3
seq1	105	106	h	11	-	105	106	255,0,0	11	0.00	0	9	2	0	0	2	1
seq1	105	106	m	11	-	105	106	255,0,0	11	18.18	2	9	0	0	0	2	1
seq1	107	108	h	27	+	107	108	255,0,0	27	7.41	2	22	3	2	0	0	2
seq1	107	108	m	27	+	107	108	255,0,0	27	11.11	3	22	2	2	0	0	2
seq1	108	109	h	13	-	108	109	255,0,0	13	7.69	1	12	0	0	0	0	1
seq1	108	109	m	13	-	108	109	255,0,0	13	0.00	0	12	1	0	0	0	1
seq1	123	124	h	30	+	123	124	255,0,0	30	3.33	1	26	3	1	0	2	1
seq1	123	124	m	30	+	123	124	255,0,0	30	10.00	3	26	1	1	0	2	1
seq1	124	125	h	14	-	124	125	255,0,0	14	0.00	0	13	1	0	0	0	2
seq1	124	125	m	14	-	124	125	255,0,0	14	7.14	1	13	0	0	0	0	2
seq1	131	132	h	29	+	131	132	255,0,0	29	0.00	0	18	11	0	0	3	1
seq1	131	132	m	29	+	131	132	255,0,0	29	37.93	11	18	0	0	0	3	1
seq1	132	133	h	14	-	132	133	255,0,0	14	7.14	1	13	0	1	0	0	1
seq1	132	133	m	14	-	132	133	255,0,0	14	0.00	0	13	1	1	0	0	1
seq1	155	156	h	26	+	155	156	255,0,0	26	0.00	0	18	8	2	0	2	4
seq1	155	156	m	26	+	155	156	255,0,0	26	30.77	8	18	0	2	0	2	4
seq1	156	157	h	14	-	156	157	255,0,0	14	0.00	0	14	0	0	0	0	0
seq1	156	157	m	14	-	156	157	255,0,0	14	0.00	0	14	0	0	0	0	0
seq1	174	175	h	27	+	174	175	255,0,0	27	7.41	2	16	9	2	0	0	4
seq1	174	175	m	27	+	174	175	255,0,0	27	33.33	9	16	2	2	0	0	4
seq1	175	176	h	11	-	175	176	255,0,0	11	0.00	0	8	3	0	0	0	1
seq1	175	176	m	11	-	175	176	255,0,0	11	27.27	3	8	0	0	0	0	1
seq1	179	180	h	30	+	179	180	255,0,0	30	23.33	7	14	9	0	0	2	1
seq1	179	180	m	30	+	179	180	255,0,0	30	30.00	9	14	7	0	0	2	1
seq1	180	181	h	10	-	180	181	255,0,0	10	0.00	0	10	0	1	0	0	1
seq1	180	181	m	10	-	180	181	255,0,0	10	0.00	0	10	0	1	0	0	1
seq1	194	195	h	32	+	194	195	255,0,0	32	3.12	1	30	1	0	0	1	1
seq1	194	195	m	32	+	194	195	255,0,0	32	3.12	1	30	1	0	0	1	1
seq1	195	196	h	8	-	195	196	255,0,0	8	0.00	0	8	0	0	0	2	3
seq1	195	196	m	8	-	195	196	255,0,0	8	0.00	0	8	0	0	0	2	3
seq1	203	204	h	30	+	203	204	255,0,0	30	0.00	0	29	1	2	0	2	1
seq1	203	204	m	30	+	203	204	255,0,0	30	3.33	1	29	0	2	0	2	1
seq1	204	205	h	10	-	204	205	255,0,0	10	0.00	0	10	0	0	0	1	2
seq1	204	205	m	10	-	204	205	255,0,0	10	0.00	0	10	0	0	0	1	2
seq1	227	228	h	34	+	227	228	255,0,0	34	0.00	0	17	17	1	0	0	1
seq1	227	228	m	34	+	227	228	255,0,0	34	50.00	17	17	0	1	0	0	1
seq1	228	229	h	12	-	228	229	255,0,0	12	0.00	0	10	2	0	0	0	1
seq1	228	229	m	12	-	228	229	255,0,0	12	16.67	2	10	0	0	0	0	1
seq1	251	252	h	33	+	251	252	255,0,0	33	6.06	2	28	3	0	0	0	0
seq1	251	252	m	33	+	251	252	255,0,0	33	9.09	3	28	2	0	0	0	0
seq1	252	253	h	15	-	252	253	255,0,0	15	0.00	0	14	1	0	0	0	0
seq1	252	253	m	15	-	252	253	255,0,0	15	6.67	1	14	0	0	0	0	0
seq1	266	267	h	23	+	266	267	255,0,0	23	4.35	1	21	1	2	0	2	3
seq1	266	267	m	23	+	266	267	255,0,0	23	4.35	1	21	1	2	0	2	3
